nombre;lat;lon;msnm;url
mojica;10°27'10'';-85°09'55'';33;https://www.imn.ac.cr/especial/estacionMojica.html
taboga;10°20'45'';-85°10'39'';29;https://www.imn.ac.cr/especial/estacionTaboga.html
el general;10°12'13.1'';-83°55'59.4'';483;https://www.imn.ac.cr/especial/estacionHidroelectrica.html
horquetas;10°18'33.7'';-83°56'46.6'';121;https://www.imn.ac.cr/especial/estacionHorquetas.html
mawamba;10°33'4'';-83°30'27'';8;https://www.imn.ac.cr/especial/estacionMawamba.html
pozo azul;10°23'8.9'';-84°08'22.4'';208;https://www.imn.ac.cr/especial/estacionPozoazul.html
villa blanca;10°12'10'';-84°29'02'';1125;https://www.imn.ac.cr/especial/estacionVblanca.html
imn;09°56'11'';-84°04'11'';1172;https://www.imn.ac.cr/especial/estacion.html
itcr cartago;09°51'8'';-83°54'31'';1360;https://www.imn.ac.cr/especial/estacionCartago.html
itcr san carlos;10°21'38.2'';-84°30'48.4'';167;https://www.imn.ac.cr/especial/estacionStaClara.html
iztaru;09°53'22.3'';-83°58'8.2'';1680;https://www.imn.ac.cr/especial/estacionIztaru.html
jaboncillal;09°57'21'';-83°58'52'';1643;https://www.imn.ac.cr/especial/estacionJaboncillal.html
la argentina;10°02'21'';-84°20'55.4'';794;https://www.imn.ac.cr/especial/estacionArgentina.html
la cruz;11°03'13'';-85°37'59'';241;https://www.imn.ac.cr/especial/estacionLaCruz.html
ligia;09°30'46'';-84°20'01'';6;https://www.imn.ac.cr/especial/estacionligia.html
lucha;09°44'12'';-84°00'02'';1740;https://www.imn.ac.cr/especial/estacionLucha.html
rebusca;10°25'28.5'';-84°00'32.8'';40;https://www.imn.ac.cr/especial/estacionRebusca.html
oet la selva;10°25'53.14'';-84°00'10.51'';37;https://www.imn.ac.cr/especial/estacionSelvaOET.html
oet las cruces;08°47'07.27'';-82°57'32'';1150;https://www.imn.ac.cr/especial/estacionCrucesOET.html
laguna fraijanes;10°08'14'';-84°11'36'';1740;https://www.imn.ac.cr/especial/estacionFraijanes.html
volcan poas;10°11'25'';-83°13'54'';2598;https://www.imn.ac.cr/especial/estacionPoas.html
las brisas;08°52'38.5'';-82°53'27.6'';1056;https://www.imn.ac.cr/especial/estacionLasBrisas.html
las delicias;10°26'39'';-84°18'54'';140;https://www.imn.ac.cr/especial/estacionDelicias.html
laurel;08°28'17.8'';-82°51'38.2'';25;https://www.imn.ac.cr/especial/estacionLaurel.html
llano grande;09°56'43.6'';-83°55'18.2'';2287;https://www.imn.ac.cr/especial/estacionLlanogrande.html
los chiles;11°01'53.8'';-84°42'41.5'';40;https://www.imn.ac.cr/especial/estacionChiles.html
mangarica;10°36'20'';-85°27'00'';134;https://www.imn.ac.cr/especial/estacionMangarica.html
manzanillo;10°11'58'';-83°28'53'';21;https://www.imn.ac.cr/especial/estacionManzanillo.html
juan vinas;09°53'46'';-83°44'53'';1181;https://www.imn.ac.cr/especial/estacionJuanVinas.html
marina pez vela;09°25'34'';-84°10'15'';3;https://www.imn.ac.cr/especial/estacionquepos.html
orosi;10°57'31.6'';-85°29'44.7'';573;https://www.imn.ac.cr/especial/estacionMaritza.html
mastate;09°55'05'';-84°34'14'';196;https://www.imn.ac.cr/especial/estacionMastate.html
el viejo;10°25'09'';-85°28'24'';87;https://www.imn.ac.cr/especial/estacionlaGuinea.html
montecarlo;09°21'29.3'';-83°36'3.8'';975;https://www.imn.ac.cr/especial/estacionMontecarlo.html
guayabo;09°58'10'';-83°41'21'';1105;https://www.imn.ac.cr/especial/estacionMGuayabo.html
herradura;09°39'0.9'';-84°39'59.3'';6;https://www.imn.ac.cr/especial/estacionHerradura.html
las esferas;08°54'48.3'';-83°28'45.6'';9;https://www.imn.ac.cr/especial/estacionMuseo.html
oroceiba;09°53'48'';-84°36'00'';133;https://www.imn.ac.cr/especial/estacionOroceiba.html
pacayas;09°54'55.2'';-83°48'17.3'';1712;https://www.imn.ac.cr/especial/estacionPacayas.html
montezuma;10°39'52.6'';-85°04'49.5'';467;https://www.imn.ac.cr/especial/estacionMontezuma.html
paquera;09°49'17'';-84°56'18'';39;https://www.imn.ac.cr/especial/estacionPaquera.html
patio agua;09°58'37'';-83°58'12'';1690;https://www.imn.ac.cr/especial/estacionPatio.html
pindeco;09°08'46.4'';-83°20'10.4'';386;https://www.imn.ac.cr/especial/estacionPindeco.html
diamantes;10°12'42.2'';-83°46'19.1'';262;https://www.imn.ac.cr/especial/estacionGuapiles.html
cuajiniquil;10°02'34'';-85°40'10'';390;https://www.imn.ac.cr/especial/estacionCuajiniquil.html
